id,source,target,relation,sourceName,targetName,sourceType,targetType,confidence,evidence,patternName,sourceFile,sectionTitle,domain,method
edge:74:JVM:List:causes:堆溢出,JVM:List,JVM:堆溢出,causes,List,堆溢出,代码与容器实体,内存区域实体,0.766,"举个例子:曾遇到过一个批量处理任务,代码中把所有处理结果都存到了一个静态 List 里,导致对象越积越多,最终堆溢出",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:126:JVM:value:causes:内存泄漏,JVM:value,JVM:内存泄漏,causes,value,内存泄漏,代码与容器实体,领域实体,0.796,"如果当前线程迟迟不结束的话,这些key为null的Entry的value就会一直存在一条强引用链:Thread Ref-> Thread-> ThreaLocalMap-> Entry-> value永远无法回收,造成内存泄漏",因果关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:129:JVM:使用:causes:OutOfMemoryError,JVM:使用,JVM:OutOfMemoryError,causes,使用,OutOfMemoryError,类加载过程实体,异常与错误实体,0.718,"直接内存的使用受到本机总内存的限制,若分配不当,可能导致 OutOfMemoryError 异常",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:147:JVM:内存碎片:causes:大对象,JVM:内存碎片,JVM:大对象,causes,内存碎片,大对象,场景与问题实体,对象与字符串相关实体,0.808,"大对象通常需要连续的内存空间,如果在新生代中频繁分配和回收大对象,容易产生内存碎片,导致后续分配大对象时可能因为内存不连续而失败",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:201:JVM:大对象:causes:Minor GC,JVM:大对象,JVM:Minor GC,causes,大对象,Minor GC,对象与字符串相关实体,垃圾回收核心概念实体,0.676,"如果将大对象分配到新生代,可能会很快导致新生代空间不足,从而频繁触发 Minor GC",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:202:JVM:大对象:causes:gc,JVM:大对象,JVM:gc,causes,大对象,gc,对象与字符串相关实体,领域实体,0.742,"原因是代码中可能存在大对象分配,或者发生了内存泄露,导致在多次GC之后,还是无法找到一块足够大的内存容纳当前对象",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:203:JVM:大对象:causes:新生代,JVM:大对象,JVM:新生代,causes,大对象,新生代,对象与字符串相关实体,堆结构实体,0.766,"如果将大对象分配到新生代,可能会很快导致新生代空间不足,从而频繁触发 Minor GC",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:237:JVM:批量处理任务:causes:堆溢出,JVM:批量处理任务,JVM:堆溢出,causes,批量处理任务,堆溢出,场景与问题实体,内存区域实体,0.65,"举个例子:曾遇到过一个批量处理任务,代码中把所有处理结果都存到了一个静态 List 里,导致对象越积越多,最终堆溢出",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:241:JVM:新生代:causes:Minor GC,JVM:新生代,JVM:Minor GC,causes,新生代,Minor GC,堆结构实体,垃圾回收核心概念实体,0.712,"如果将大对象分配到新生代,可能会很快导致新生代空间不足,从而频繁触发 Minor GC",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:242:JVM:新生代:causes:大对象,JVM:新生代,JVM:大对象,causes,新生代,大对象,堆结构实体,对象与字符串相关实体,0.688,"大对象通常需要连续的内存空间,如果在新生代中频繁分配和回收大对象,容易产生内存碎片,导致后续分配大对象时可能因为内存不连续而失败",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:274:JVM:栈帧:causes:栈溢出,JVM:栈帧,JVM:栈溢出,causes,栈帧,栈溢出,栈与栈帧相关实体,场景与问题实体,0.718,"如果递归没有正确的终止条件,栈帧会不断累积,最终超过虚拟机栈的最大容量,导致栈溢出",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:288:JVM:树形结构遍历:causes:栈溢出,JVM:树形结构遍历,JVM:栈溢出,causes,树形结构遍历,栈溢出,场景与问题实体,场景与问题实体,0.65,"举个实际例子:曾遇到一个树形结构遍历的方法,因节点层级极深(超过 10 万层)且用递归实现,导致栈溢出",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:292:JVM:深度递归:causes:栈溢出,JVM:深度递归,JVM:栈溢出,causes,深度递归,栈溢出,场景与问题实体,场景与问题实体,0.818,递归调用:深度递归导致栈溢出,因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:294:JVM:直接内存:causes:OutOfMemoryError,JVM:直接内存,JVM:OutOfMemoryError,causes,直接内存,OutOfMemoryError,内存区域实体,异常与错误实体,0.7,"直接内存的使用受到本机总内存的限制,若分配不当,可能导致 OutOfMemoryError 异常",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:314:JVM:类加载:causes:元空间,JVM:类加载,JVM:元空间,causes,类加载,元空间,领域实体,内存区域实体,0.814,"出现这个异常的问题的原因是系统的代码非常多或引用的第三方包非常多或者通过动态代码生成类加载等方法,导致元空间的内存占用很大",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:335:JVM:老年代:causes:内存碎片,JVM:老年代,JVM:内存碎片,causes,老年代,内存碎片,堆结构实体,场景与问题实体,0.748,"这类对象直接分配在老年代,以避免因频繁的年轻代晋升而导致的内存碎片化问题",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:339:JVM:虚拟机栈:causes:栈溢出,JVM:虚拟机栈,JVM:栈溢出,causes,虚拟机栈,栈溢出,内存区域实体,场景与问题实体,0.802,"如果递归没有正确的终止条件,栈帧会不断累积,最终超过虚拟机栈的最大容量,导致栈溢出",因果关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:351:JVM:连接:causes:OutOfMemoryError,JVM:连接,JVM:OutOfMemoryError,causes,连接,OutOfMemoryError,类加载过程实体,异常与错误实体,0.718,"这些未正常关闭的连接,如果不进行处理,轻则影响程序性能,重则导致OutOfMemoryError异常发生",因果关系,JVM.txt,未关闭的资源,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:355:JVM:重定位阶段:causes:指针,JVM:重定位阶段,JVM:指针,causes,重定位阶段,指针,垃圾回收算法实体,栈与栈帧相关实体,0.65,"重定位阶段,因为转移导致对象的地址发生了变化,在重定位阶段,所有指向对象旧地址的指针都要调整到对象新的地址上",因果关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:18:JVM:G1:depends_on:内存碎片,JVM:G1,JVM:内存碎片,depends_on,G1,内存碎片,垃圾回收器实体,场景与问题实体,0.72,"G1(Garbage First)收集器(标记-整理算法):Java堆并行收集器,G1收集器是JDK1.7提供的一个新收集器,G1收集器基于“标记-整理”算法实现,也就是说不会产生内存碎片",依赖关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:19:JVM:G1:depends_on:大对象,JVM:G1,JVM:大对象,depends_on,G1,大对象,垃圾回收器实体,对象与字符串相关实体,0.72,"算法:G1 基于标记--整理算法, 不会产生空间碎片,在分配大对象时,不会因无法得到连续的空间,而提前触发一次 FULL GC",依赖关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:31:JVM:GC Roots:has_part:方法区,JVM:GC Roots,JVM:方法区,has_part,GC Roots,方法区,垃圾回收核心概念实体,内存区域实体,0.648,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,整体部分关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:32:JVM:GC Roots:has_part:本地方法栈,JVM:GC Roots,JVM:本地方法栈,has_part,GC Roots,本地方法栈,垃圾回收核心概念实体,内存区域实体,0.61,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,整体部分关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:33:JVM:GC Roots:has_part:栈帧,JVM:GC Roots,JVM:栈帧,has_part,GC Roots,栈帧,垃圾回收核心概念实体,栈与栈帧相关实体,0.75,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:34:JVM:GC Roots:has_part:虚拟机栈,JVM:GC Roots,JVM:虚拟机栈,has_part,GC Roots,虚拟机栈,垃圾回收核心概念实体,内存区域实体,0.78,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:36:JVM:Humongous Objects:has_part:G1,JVM:Humongous Objects,JVM:G1,has_part,Humongous Objects,G1,堆结构实体,垃圾回收器实体,0.732,"大对象区(Large Object Space/Humongous Objects):在某些JVM实现中(如G1垃圾收集器),为大对象分配了专门的区域,称为大对象区或Humongous Objects区域",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:37:JVM:Humongous Objects:has_part:JVM,JVM:Humongous Objects,JVM:JVM,has_part,Humongous Objects,JVM,堆结构实体,领域实体,0.78,"大对象区(Large Object Space/Humongous Objects):在某些JVM实现中(如G1垃圾收集器),为大对象分配了专门的区域,称为大对象区或Humongous Objects区域",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:38:JVM:Humongous Objects:has_part:大对象,JVM:Humongous Objects,JVM:大对象,has_part,Humongous Objects,大对象,堆结构实体,对象与字符串相关实体,0.672,"大对象区(Large Object Space/Humongous Objects):在某些JVM实现中(如G1垃圾收集器),为大对象分配了专门的区域,称为大对象区或Humongous Objects区域",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:52:JVM:Java 堆:has_part:新生代,JVM:Java 堆,JVM:新生代,has_part,Java 堆,新生代,内存区域实体,堆结构实体,0.792,"此外,G1收集器不同于之前的收集器的一个重要特点是:G1回收的范围是整个Java堆(包括新生代,老年代),而前六种收集器回收的范围仅限于新生代或老年代",整体部分关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:53:JVM:Java 堆:has_part:老年代,JVM:Java 堆,JVM:老年代,has_part,Java 堆,老年代,内存区域实体,堆结构实体,0.768,"此外,G1收集器不同于之前的收集器的一个重要特点是:G1回收的范围是整个Java堆(包括新生代,老年代),而前六种收集器回收的范围仅限于新生代或老年代",整体部分关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:69:JVM:Java 虚拟机栈:has_part:线程,JVM:Java 虚拟机栈,JVM:线程,has_part,Java 虚拟机栈,线程,领域实体,线程与私有性相关实体,0.792,"Java 虚拟机栈:每个线程都有自己独立的 Java 虚拟机栈,生命周期与线程相同",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:83:JVM:OutOfMemoryError:has_part:Java heap space,JVM:OutOfMemoryError,JVM:Java heap space,has_part,OutOfMemoryError,Java heap space,异常与错误实体,异常与错误实体,0.784,"堆内存溢出:当出现Java.lang.OutOfMemoryError:Java heap space异常时,就是堆内存溢出了",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:98:JVM:Tenured Generation:has_part:Minor GC,JVM:Tenured Generation,JVM:Minor GC,has_part,Tenured Generation,Minor GC,堆结构实体,垃圾回收核心概念实体,0.75,老年代(Old Generation/Tenured Generation):存放过一次或多次Minor GC仍存活的对象会被移动到老年代,枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:114:JVM:gc:has_part:Minor GC,JVM:gc,JVM:Minor GC,has_part,gc,Minor GC,领域实体,垃圾回收核心概念实体,0.768,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:128:JVM:优化方法栈帧:has_part:局部变量,JVM:优化方法栈帧,JVM:局部变量,has_part,优化方法栈帧,局部变量,栈与栈帧相关实体,栈与栈帧相关实体,0.754,"优化方法栈帧:减少方法内局部变量的数量,避免在方法中创建过大的对象或数组,将大对象的创建移到堆中(通过 new 关键字),降低单个栈帧的内存占用",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:136:JVM:元空间:has_part:方法区,JVM:元空间,JVM:方法区,has_part,元空间,方法区,内存区域实体,内存区域实体,0.67,"方法区(元空间):在 JDK 1.8 及以后的版本中,方法区被元空间取代,使用本地内存",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:142:JVM:内存泄漏:has_part:静态集合,JVM:内存泄漏,JVM:静态集合,has_part,内存泄漏,静态集合,领域实体,场景与问题实体,0.792,如果是内存泄漏:比如静态集合无意识地缓存了大量对象、长生命周期对象持有短生命周期对象的引用(如单例类持有业务对象)等,枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:148:JVM:内存碎片:has_part:G1,JVM:内存碎片,JVM:G1,has_part,内存碎片,G1,场景与问题实体,垃圾回收器实体,0.792,"对内存碎片敏感:G1通过紧凑整理来减少内存碎片,降低了碎片化对性能的影响",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:151:JVM:初始化:has_part:使用,JVM:初始化,JVM:使用,has_part,初始化,使用,类加载过程实体,类加载过程实体,0.59,"初始化零值:内存分配完成后,虚拟机需要将分配到的内存空间都初始化为零值(不包括对象头),这一步操作保证了对象的实例字段在 Java 代码中可以不赋初始值就直接使用,程序能访问到这些字段的数据类型所对应的零值",整体部分关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:152:JVM:初始化:has_part:对象头,JVM:初始化,JVM:对象头,has_part,初始化,对象头,类加载过程实体,对象与字符串相关实体,0.768,"初始化零值:内存分配完成后,虚拟机需要将分配到的内存空间都初始化为零值(不包括对象头),这一步操作保证了对象的实例字段在 Java 代码中可以不赋初始值就直接使用,程序能访问到这些字段的数据类型所对应的零值",整体部分关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:157:JVM:初始化零值:has_part:初始化,JVM:初始化零值,JVM:初始化,has_part,初始化零值,初始化,类加载过程实体,类加载过程实体,0.646,"初始化零值:内存分配完成后,虚拟机需要将分配到的内存空间都初始化为零值(不包括对象头),这一步操作保证了对象的实例字段在 Java 代码中可以不赋初始值就直接使用,程序能访问到这些字段的数据类型所对应的零值",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:158:JVM:初始化零值:has_part:对象头,JVM:初始化零值,JVM:对象头,has_part,初始化零值,对象头,类加载过程实体,对象与字符串相关实体,0.61,"初始化零值:内存分配完成后,虚拟机需要将分配到的内存空间都初始化为零值(不包括对象头),这一步操作保证了对象的实例字段在 Java 代码中可以不赋初始值就直接使用,程序能访问到这些字段的数据类型所对应的零值",整体部分关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:161:JVM:加载:has_part:全限定名,JVM:加载,JVM:全限定名,has_part,加载,全限定名,类加载过程实体,类加载过程实体,0.76,"加载:通过类的全限定名(包名+类名),获取到该类的.class文件的二进制字节流,将二进制字节流所代表的静态存储结构,转化为方法区运行时的数据结构,在内存中生成一个代表该类的Java.lang.Class对象,作为方法区这个类的各种数据的访问入口",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:171:JVM:卸载:has_part:JVM,JVM:卸载,JVM:JVM,has_part,卸载,JVM,类加载过程实体,领域实体,0.774,"卸载:一个类要被JVM卸载,条件非常苛刻,需要同时满足以下三点",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:177:JVM:可达性分析:has_part:GC Roots,JVM:可达性分析,JVM:GC Roots,has_part,可达性分析,GC Roots,垃圾回收核心概念实体,垃圾回收核心概念实体,0.766,"最经典的是 「可达性分析」:以 GC Roots(比如虚拟机栈里的局部变量、静态变量、常量等)为起点,遍历对象的引用链,如果某个对象从 GC Roots 出发不可达,就会被标记为可回收对象",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:178:JVM:可达性分析:has_part:局部变量,JVM:可达性分析,JVM:局部变量,has_part,可达性分析,局部变量,垃圾回收核心概念实体,栈与栈帧相关实体,0.684,"最经典的是 「可达性分析」:以 GC Roots(比如虚拟机栈里的局部变量、静态变量、常量等)为起点,遍历对象的引用链,如果某个对象从 GC Roots 出发不可达,就会被标记为可回收对象",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:179:JVM:可达性分析:has_part:虚拟机栈,JVM:可达性分析,JVM:虚拟机栈,has_part,可达性分析,虚拟机栈,垃圾回收核心概念实体,内存区域实体,0.72,"最经典的是 「可达性分析」:以 GC Roots(比如虚拟机栈里的局部变量、静态变量、常量等)为起点,遍历对象的引用链,如果某个对象从 GC Roots 出发不可达,就会被标记为可回收对象",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:183:JVM:垃圾回收:has_part:可达性分析,JVM:垃圾回收,JVM:可达性分析,has_part,垃圾回收,可达性分析,领域实体,垃圾回收核心概念实体,0.738,"在Java中,判断对象是否为垃圾(即不再被使用,可以被垃圾回收器回收)主要依据两种主流的垃圾回收算法来实现:引用计数法和可达性分析算法",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:184:JVM:垃圾回收:has_part:引用计数法,JVM:垃圾回收,JVM:引用计数法,has_part,垃圾回收,引用计数法,领域实体,垃圾回收核心概念实体,0.774,"在Java中,判断对象是否为垃圾(即不再被使用,可以被垃圾回收器回收)主要依据两种主流的垃圾回收算法来实现:引用计数法和可达性分析算法",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:193:JVM:复制算法:has_part:新生代,JVM:复制算法,JVM:新生代,has_part,复制算法,新生代,垃圾回收算法实体,堆结构实体,0.792,"Serial收集器(复制算法):新生代单线程收集器,标记和清理都是单线程,优点是简单高效",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:194:JVM:复制算法:has_part:线程,JVM:复制算法,JVM:线程,has_part,复制算法,线程,垃圾回收算法实体,线程与私有性相关实体,0.768,"Serial收集器(复制算法):新生代单线程收集器,标记和清理都是单线程,优点是简单高效",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:206:JVM:字面量:has_part:运行时常量池,JVM:字面量,JVM:运行时常量池,has_part,字面量,运行时常量池,对象与字符串相关实体,内存区域实体,0.718,"运行时常量池:是方法区的一部分,用于存放编译期生成的各种字面量和符号引用,具有动态性,运行时也可将新的常量放入池中",部分整体关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:207:JVM:对象头:has_part:初始化零值,JVM:对象头,JVM:初始化零值,has_part,对象头,初始化零值,对象与字符串相关实体,类加载过程实体,0.804,"进行必要设置,比如对象头:初始化零值完成之后,虚拟机要对对象进行必要的设置,例如这个对象是哪个类的实例、如何才能找到类的元数据信息、对象的哈希码、对象的 GC 分代年龄等信息",枚举结构关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:209:JVM:对象池:has_part:弱引用可,JVM:对象池,JVM:弱引用可,has_part,对象池,弱引用可,场景与问题实体,引用类型实体,0.768,"对象池:在对象池中,弱引用可以用来管理那些暂时不使用的对象",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:212:JVM:常量:has_part:符号引用,JVM:常量,JVM:符号引用,has_part,常量,符号引用,方法区与元数据相关实体,方法区与元数据相关实体,0.736,"常量池:存储类和接口中的常量,包括字面值常量、符号引用,以及运行时常量池",整体部分关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:213:JVM:常量:has_part:运行时常量池,JVM:常量,JVM:运行时常量池,has_part,常量,运行时常量池,方法区与元数据相关实体,内存区域实体,0.714,"常量池:存储类和接口中的常量,包括字面值常量、符号引用,以及运行时常量池",整体部分关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:216:JVM:常量池:has_part:常量,JVM:常量池,JVM:常量,has_part,常量池,常量,方法区与元数据相关实体,方法区与元数据相关实体,0.736,"常量池:存储类和接口中的常量,包括字面值常量、符号引用,以及运行时常量池",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:217:JVM:常量池:has_part:符号引用,JVM:常量池,JVM:符号引用,has_part,常量池,符号引用,方法区与元数据相关实体,方法区与元数据相关实体,0.67,"常量池:存储类和接口中的常量,包括字面值常量、符号引用,以及运行时常量池",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:218:JVM:常量池:has_part:运行时常量池,JVM:常量池,JVM:运行时常量池,has_part,常量池,运行时常量池,方法区与元数据相关实体,内存区域实体,0.648,"常量池:存储类和接口中的常量,包括字面值常量、符号引用,以及运行时常量池",整体部分关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:259:JVM:本地方法栈:has_part:Java 虚拟机栈,JVM:本地方法栈,JVM:Java 虚拟机栈,has_part,本地方法栈,Java 虚拟机栈,内存区域实体,领域实体,0.792,"本地方法栈:与 Java 虚拟机栈类似,主要为虚拟机使用到的 Native 方法服务,在 HotSpot 虚拟机中和 Java 虚拟机栈合二为一",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:260:JVM:本地方法栈:has_part:使用,JVM:本地方法栈,JVM:使用,has_part,本地方法栈,使用,内存区域实体,类加载过程实体,0.684,"本地方法栈:与 Java 虚拟机栈类似,主要为虚拟机使用到的 Native 方法服务,在 HotSpot 虚拟机中和 Java 虚拟机栈合二为一",枚举结构关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
