id,nodeId,entity,attributeName,attributeValue,valueCount,confidence,evidence,sourceFile,sectionTitle,domain,method
attr:42:data_structure:队列:概念定义,data_structure:队列,队列,概念定义,"一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",1,0.92,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",data_structure.txt,,data_structure,直接保留单值
attr:6:data_structure:非线性结构:概念定义,data_structure:非线性结构,非线性结构,概念定义,"指数据元素之间存在一对多关系的结构,主要包括树和图",2,0.92,"非线性结构是指数据元素之间存在一对多关系的结构,主要包括树和图",data_structure.txt,,data_structure,基于 Jaccard Token Overlap 的贪心融合
attr:8:java:Java:概念定义,java:Java,Java,概念定义,"单继承,一个类只能有一个直接父类",1,0.92,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",java.txt,,java,直接保留单值
attr:11:java:Throwable:概念定义,java:Throwable,Throwable,概念定义,"顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理",1,0.92,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理",java.txt,,java,直接保留单值
attr:23:java:对象:概念定义,java:对象,对象,概念定义,类的实例,1,0.92,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",java.txt,,java,直接保留单值
attr:31:java:数组:概念定义,java:数组,数组,概念定义,"引用类型,长度固定,存储同一类型的数据",1,0.92,"数组是引用类型,长度固定,存储同一类型的数据",java.txt,,java,直接保留单值
attr:9:mysql:MySQL:概念定义,mysql:MySQL,MySQL,概念定义,"一款开源的关系型数据库管理系统(RDBMS),使用SQL作为查询语言,支持多线程、高并发,是Java后端开发最常用的数据库",1,0.92,"1.MySQL是一款开源的关系型数据库管理系统(RDBMS),使用SQL作为查询语言,支持多线程、高并发,是Java后端开发最常用的数据库",mysql.txt,,mysql,直接保留单值
attr:12:mysql:char:概念定义,mysql:char,char,概念定义,"固定长度字符串,查询效率高,会自动补空格",1,0.92,"7.char与varchar区别:char是固定长度字符串,查询效率高,会自动补空格",mysql.txt,,mysql,直接保留单值
attr:14:mysql:utf8mb4:概念定义,mysql:utf8mb4,utf8mb4,概念定义,"MySQL推荐字符集,支持存储emoji表情,替代utf8",1,0.92,"9.字符集:utf8mb4是MySQL推荐字符集,支持存储emoji表情,替代utf8",mysql.txt,,mysql,直接保留单值
attr:15:mysql:varchar:概念定义,mysql:varchar,varchar,概念定义,"可变长度字符串,节省存储空间,效率略低",1,0.92,"varchar是可变长度字符串,节省存储空间,效率略低",mysql.txt,,mysql,直接保留单值
attr:16:mysql:事务:概念定义,mysql:事务,事务,概念定义,"最小单位,不可分割",1,0.92,"-原子性(Atomicity):事务是最小单位,不可分割",mysql.txt,,mysql,直接保留单值
attr:37:mysql:索引:概念定义,mysql:索引,索引,概念定义,"帮助MySQL高效获取数据的**排好序的数据结构**,核心作用是提升查询效率,降低数据库IO成本",1,0.92,"1.索引是帮助MySQL高效获取数据的**排好序的数据结构**,核心作用是提升查询效率,降低数据库IO成本",mysql.txt,,mysql,直接保留单值
attr:0:os:互斥:概念定义,os:互斥,互斥,概念定义,指在某一时刻只允许一个进程进入临界区访问共享资源,2,0.92,互斥是指在某一时刻只允许一个进程进入临界区访问共享资源,os.txt,,os,基于 Jaccard Token Overlap 的贪心融合
attr:18:os:内核:概念定义,os:内核,内核,概念定义,"最核心的部分,负责进程调度、内存管理、中断处理、设备控制等关键操作",1,0.92,"内核是最核心的部分,负责进程调度、内存管理、中断处理、设备控制等关键操作",os.txt,,os,直接保留单值
attr:27:os:操作系统:概念定义,os:操作系统,操作系统,概念定义,"看得见”的使用环境,例如窗口、文件夹、任务栏、终端等",1,0.92,"对于普通用户而言,操作系统是“看得见”的使用环境,例如窗口、文件夹、任务栏、终端等",os.txt,,os,直接保留单值
attr:32:os:文件系统:概念定义,os:文件系统,文件系统,概念定义,用户感知最直接的操作系统功能之一,1,0.92,文件系统是用户感知最直接的操作系统功能之一,os.txt,,os,直接保留单值
attr:36:os:系统调用:概念定义,os:系统调用,系统调用,概念定义,"用户态与内核态交互的主要桥梁,也是课程中的关键知识点",1,0.92,"系统调用是用户态与内核态交互的主要桥梁,也是课程中的关键知识点",os.txt,,os,直接保留单值
attr:38:os:调度:概念定义,os:调度,调度,概念定义,操作系统实现“多任务并发”的核心机制,1,0.92,调度是操作系统实现“多任务并发”的核心机制,os.txt,,os,直接保留单值
attr:40:os:进程:概念定义,os:进程,进程,概念定义,"程序的一次执行过程,是系统进行资源分配和调度的基本单位",1,0.92,"简单来说,进程是程序的一次执行过程,是系统进行资源分配和调度的基本单位",os.txt,,os,直接保留单值
attr:43:os:驱动程序:概念定义,os:驱动程序,驱动程序,概念定义,"连接操作系统与具体硬件的桥梁,它把操作系统的通用 I/O 请求转换为特定设备可识别的控制命令",1,0.92,"驱动程序是连接操作系统与具体硬件的桥梁,它把操作系统的通用 I/O 请求转换为特定设备可识别的控制命令",os.txt,,os,直接保留单值
