main_entity,entity_type,mention_count,mentions,source_file
共享,核心思想与性质实体,10,共享,os.txt
权限,文件系统实体,8,权限,os.txt
权限控制,文件系统实体,2,权限控制,os.txt
用户态,核心抽象实体,4,用户态,os.txt
内核,领域实体,8,内核,os.txt
内核态,领域实体,3,内核态,os.txt
中断处理,处理器与调度实体,2,中断处理,os.txt
可维护性,核心思想与性质实体,1,可维护性,os.txt
扩展性,核心思想与性质实体,2,扩展性,os.txt
可靠性,核心思想与性质实体,2,可靠性,os.txt
通信开销,核心思想与性质实体,1,通信开销,os.txt
稳定性,核心思想与性质实体,1,稳定性,os.txt
安全性,核心思想与性质实体,3,安全性,os.txt
进程与线程,核心抽象实体,3,进程与线程,os.txt
程序计数器,进程与线程实体,2,程序计数器,os.txt
寄存器,进程与线程实体,2,寄存器,os.txt
打开的文件,核心抽象实体,1,打开的文件,os.txt
运行状态,进程与线程实体,2,运行状态,os.txt
就绪状态,进程与线程实体,1,就绪状态,os.txt
阻塞状态,进程与线程实体,1,阻塞状态,os.txt
I/O,设备管理与I/O实体,4,I/O,os.txt
进程控制块,核心抽象实体,1,进程控制块,os.txt
Process Control Block,进程与线程实体,1,Process Control Block,os.txt
PCB,进程与线程实体,2,PCB,os.txt
Thread,进程与线程实体,1,Thread,os.txt
栈,进程与线程实体,2,栈,os.txt
寄存器环境,进程与线程实体,1,寄存器环境,os.txt
多线程,核心抽象实体,1,多线程,os.txt
并发,核心思想与性质实体,7,并发,os.txt
并发能力,进程与线程实体,1,并发能力,os.txt
图形界面程序,发展历程实体,1,图形界面程序,os.txt
服务器程序,系统与平台实体,1,服务器程序,os.txt
并行计算任务,进程与线程实体,1,并行计算任务,os.txt
共享资源,同步与互斥实体,3,共享资源,os.txt
处理器调度与调度算法,资源与硬件实体,1,处理器调度与调度算法,os.txt
CPU 利用率,处理器与调度实体,1,CPU 利用率,os.txt
周转时间,处理器与调度实体,2,周转时间,os.txt
响应时间,处理器与调度实体,1,响应时间,os.txt
公平性,处理器与调度实体,1,公平性,os.txt
交互式系统,处理器与调度实体,2,交互式系统,os.txt
实时系统,处理器与调度实体,1,实时系统,os.txt
先来先服务,调度算法实体,3,先来先服务,os.txt
First Come First Served,调度算法实体,1,First Come First Served,os.txt
FCFS,调度算法实体,1,FCFS,os.txt
短作业优先,调度算法实体,2,短作业优先,os.txt
Shortest Job First,调度算法实体,1,Shortest Job First,os.txt
SJF,调度算法实体,1,SJF,os.txt
时间片轮转,处理器与调度实体,2,时间片轮转,os.txt
Round Robin,调度算法实体,1,Round Robin,os.txt
RR,调度算法实体,1,RR,os.txt
优先级调度,处理器与调度实体,2,优先级调度,os.txt
多级反馈队列,调度算法实体,2,多级反馈队列,os.txt
Multilevel Feedback Queue,调度算法实体,1,Multilevel Feedback Queue,os.txt
抢占式调度,处理器与调度实体,4,抢占式调度,os.txt
非抢占式调度,处理器与调度实体,2,非抢占式调度,os.txt
互斥,同步与互斥实体,5,互斥,os.txt
临界区,同步与互斥实体,1,临界区,os.txt
信号量,同步与互斥实体,2,信号量,os.txt
Semaphore,同步与互斥实体,1,Semaphore,os.txt
管程,同步与互斥实体,1,管程,os.txt
Monitor,同步与互斥实体,1,Monitor,os.txt
条件变量,同步与互斥实体,1,条件变量,os.txt
生产者—消费者问题,经典同步问题实体,2,生产者—消费者问题,os.txt
读者—写者问题,经典同步问题实体,1,读者—写者问题,os.txt
哲学家进餐问题,经典同步问题实体,1,哲学家进餐问题,os.txt
竞争条件,同步与互斥实体,1,竞争条件,os.txt
Deadlock,死锁相关实体,1,Deadlock,os.txt
请求并保持,死锁相关实体,1,请求并保持,os.txt
不剥夺,死锁相关实体,1,不剥夺,os.txt
循环等待,死锁相关实体,1,循环等待,os.txt
安全性判断,死锁相关实体,1,安全性判断,os.txt
银行家算法,死锁相关实体,1,银行家算法,os.txt
Banker’s Algorithm,死锁相关实体,1,Banker’s Algorithm,os.txt
权衡,核心思想与性质实体,1,权衡,os.txt
内存管理与虚拟内存,核心抽象实体,1,内存管理与虚拟内存,os.txt
连续分配,内存管理实体,5,连续分配,os.txt
单一连续分配,内存管理实体,1,单一连续分配,os.txt
固定分区分配,内存管理实体,1,固定分区分配,os.txt
动态分区分配,内存管理实体,1,动态分区分配,os.txt
内部碎片,内存管理实体,2,内部碎片,os.txt
外部碎片,内存管理实体,2,外部碎片,os.txt
非连续分配,内存管理实体,1,非连续分配,os.txt
Paging,内存管理实体,1,Paging,os.txt
分段,内存管理实体,4,分段,os.txt
Segmentation,内存管理实体,1,Segmentation,os.txt
逻辑地址空间,核心抽象实体,1,逻辑地址空间,os.txt
页框,资源与硬件实体,1,页框,os.txt
页表,资源与硬件实体,1,页表,os.txt
代码段,内存管理实体,1,代码段,os.txt
数据段,内存管理实体,1,数据段,os.txt
栈段,进程与线程实体,1,栈段,os.txt
Virtual Memory,虚拟内存与页面置换实体,1,Virtual Memory,os.txt
主存,内存管理实体,1,主存,os.txt
缺页中断,资源与硬件实体,1,缺页中断,os.txt
页面置换算法,资源与硬件实体,2,页面置换算法,os.txt
先进先出,虚拟内存与页面置换实体,1,先进先出,os.txt
FIFO,虚拟内存与页面置换实体,1,FIFO,os.txt
最近最久未使用,虚拟内存与页面置换实体,1,最近最久未使用,os.txt
Least Recently Used,虚拟内存与页面置换实体,1,Least Recently Used,os.txt
LRU,虚拟内存与页面置换实体,2,LRU,os.txt
最佳置换,虚拟内存与页面置换实体,3,最佳置换,os.txt
OPT,虚拟内存与页面置换实体,1,OPT,os.txt
局部性原理,虚拟内存与页面置换实体,1,局部性原理,os.txt
课程中还会讨论抖动,虚拟内存与页面置换实体,1,课程中还会讨论抖动,os.txt
抖动,虚拟内存与页面置换实体,1,抖动,os.txt
Thrashing,虚拟内存与页面置换实体,1,Thrashing,os.txt
页面调度,资源与硬件实体,1,页面调度,os.txt
外存,资源与硬件实体,2,外存,os.txt
文件名,核心抽象实体,1,文件名,os.txt
位置,文件系统实体,1,位置,os.txt
时间戳,文件系统实体,1,时间戳,os.txt
单级目录,核心抽象实体,1,单级目录,os.txt
两级目录,核心抽象实体,1,两级目录,os.txt
树形目录,核心抽象实体,2,树形目录,os.txt
路径名,核心抽象实体,1,路径名,os.txt
绝对路径,文件系统实体,1,绝对路径,os.txt
相对路径,文件系统实体,1,相对路径,os.txt
链接分配,文件系统实体,2,链接分配,os.txt
索引分配,文件系统实体,2,索引分配,os.txt
索引块,文件系统实体,1,索引块,os.txt
空闲空间管理,文件系统实体,1,空闲空间管理,os.txt
目录项,核心抽象实体,1,目录项,os.txt
文件共享,核心抽象实体,1,文件共享,os.txt
一致性维护,文件系统实体,1,一致性维护,os.txt
故障恢复,文件系统实体,1,故障恢复,os.txt
日志式文件系统,核心抽象实体,1,日志式文件系统,os.txt
Journaling File System,文件系统实体,1,Journaling File System,os.txt
元数据,文件系统实体,1,元数据,os.txt
设备管理与输入输出系统,功能模块实体,1,设备管理与输入输出系统,os.txt
输入输出系统,设备管理与I/O实体,1,输入输出系统,os.txt
设备控制器,资源与硬件实体,1,设备控制器,os.txt
I/O 请求,设备管理与I/O实体,1,I/O 请求,os.txt
控制命令,设备管理与I/O实体,1,控制命令,os.txt
假脱机,设备管理与I/O实体,2,假脱机,os.txt
Spooling,设备管理与I/O实体,1,Spooling,os.txt
DMA,设备管理与I/O实体,2,DMA,os.txt
Direct Memory Access,设备管理与I/O实体,1,Direct Memory Access,os.txt
独占型设备,核心思想与性质实体,1,独占型设备,os.txt
磁盘调度算法,资源与硬件实体,1,磁盘调度算法,os.txt
最短寻道时间优先,磁盘调度实体,1,最短寻道时间优先,os.txt
SSTF,磁盘调度实体,1,SSTF,os.txt
扫描算法,磁盘调度实体,2,扫描算法,os.txt
SCAN,磁盘调度实体,2,SCAN,os.txt
循环扫描算法,磁盘调度实体,2,循环扫描算法,os.txt
C-SCAN,磁盘调度实体,1,C-SCAN,os.txt
磁头移动距离,磁盘调度实体,1,磁头移动距离,os.txt
磁盘访问效率,资源与硬件实体,1,磁盘访问效率,os.txt
系统安全,安全与保护实体,1,系统安全,os.txt
用户权限,文件系统实体,1,用户权限,os.txt
进程隔离,核心抽象实体,1,进程隔离,os.txt
内存保护,资源与硬件实体,2,内存保护,os.txt
恶意软件,安全与保护实体,1,恶意软件,os.txt
非法入侵,安全与保护实体,1,非法入侵,os.txt
提权攻击,安全与保护实体,1,提权攻击,os.txt
数据泄露,安全与保护实体,1,数据泄露,os.txt
用户账户,安全与保护实体,1,用户账户,os.txt
访问控制,安全与保护实体,3,访问控制,os.txt
权限位,文件系统实体,1,权限位,os.txt
访问控制列表,安全与保护实体,1,访问控制列表,os.txt
身份认证,安全与保护实体,1,身份认证,os.txt
审计日志,安全与保护实体,1,审计日志,os.txt
特权级划分,安全与保护实体,1,特权级划分,os.txt
沙箱机制,安全与保护实体,1,沙箱机制,os.txt
地址空间布局随机化,核心抽象实体,1,地址空间布局随机化,os.txt
强制访问控制,安全与保护实体,1,强制访问控制,os.txt
进程管理,核心抽象实体,1,进程管理,os.txt
简单 Shell,课程与方法相关实体,1,简单 Shell,os.txt
模拟进程调度,核心抽象实体,1,模拟进程调度,os.txt
Linux 进程与线程,核心抽象实体,1,Linux 进程与线程,os.txt
文件系统命令输出,核心抽象实体,1,文件系统命令输出,os.txt
