entity,attribute_name,attribute_value,section_title,source_file,evidence,confidence,method
标记-清除算法,属性,"标记-清除算法分为“标记”和“清除”两个阶段,首先通过可达性分析,标记出所有需要回收的对象,然后统一回收所有被标记的对象",使用ThreadLocal,JVM.txt,"标记-清除算法:标记-清除算法分为“标记”和“清除”两个阶段,首先通过可达性分析,标记出所有需要回收的对象,然后统一回收所有被标记的对象",0.82,attribute_disambiguation_normalized
栈溢出,属性,"如果我们写一段程序不断的进行递归调用,而且没有退出条件,就会导致不断地进行压栈",全文,JVM.txt,"栈溢出:如果我们写一段程序不断的进行递归调用,而且没有退出条件,就会导致不断地进行压栈",0.82,attribute_disambiguation_normalized
符号引用,属性,"存储类和方法的符号引用,是一种直接引用不同于直接引用的引用类型",全文,JVM.txt,"符号引用:存储类和方法的符号引用,是一种直接引用不同于直接引用的引用类型",0.82,attribute_disambiguation_normalized
简化了加载流程,属性,"通过委派,大部分类能够被正确的类加载器加载,减少了每个加载器需要处理的类的数量,简化了类的加载过程,提高了加载效率",使用ThreadLocal,JVM.txt,"简化了加载流程:通过委派,大部分类能够被正确的类加载器加载,减少了每个加载器需要处理的类的数量,简化了类的加载过程,提高了加载效率",0.82,attribute_disambiguation_normalized
类信息,属性,包括类的结构信息、类的访问修饰符、父类与接口等信息,全文,JVM.txt,类信息:包括类的结构信息、类的访问修饰符、父类与接口等信息,0.82,attribute_disambiguation_normalized
线程,属性,"未停止的线程可能持有对象引用,无法被回收",全文,JVM.txt,"线程:未停止的线程可能持有对象引用,无法被回收",0.82,attribute_disambiguation_normalized
缓存系统,属性,"弱引用常用于实现缓存,特别是当希望缓存项能够在内存压力下自动释放时",全文,JVM.txt,"缓存系统:弱引用常用于实现缓存,特别是当希望缓存项能够在内存压力下自动释放时",0.82,attribute_disambiguation_normalized
验证,属性,"确保class文件中的字节流包含的信息,符合当前虚拟机的要求,保证这个被加载的class类的正确性,不会危害到虚拟机的安全",使用ThreadLocal,JVM.txt,"验证:确保class文件中的字节流包含的信息,符合当前虚拟机的要求,保证这个被加载的class类的正确性,不会危害到虚拟机的安全",0.82,attribute_disambiguation_normalized
验证,阶段大致会完成以下四个阶段的检验动作,文件格式校验、元数据验证、字节码验证、符号引用验证,使用ThreadLocal,JVM.txt,验证阶段大致会完成以下四个阶段的检验动作:文件格式校验、元数据验证、字节码验证、符号引用验证,0.82,attribute_disambiguation_normalized
Minor GC,特性,gc,使用ThreadLocal,JVM.txt,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",0.818,attribute_disambiguation_normalized
G1,特性,gc,使用ThreadLocal,JVM.txt,"而G1没有浮动垃圾,G1的筛选回收是多个垃圾回收线程并行gc的,没有浮动垃圾的回收,在执行‘并发清理’步骤时,用户线程也会同时产生一部分可回收对象,但是这部分可回收对象只能在下次执行清理是才会被回收",0.814,attribute_disambiguation_normalized
复制算法,特性,Serial,使用ThreadLocal,JVM.txt,"ParNew收集器 (复制算法): 新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",0.814,attribute_disambiguation_normalized
类加载,特性,Bootstrap ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.814,attribute_disambiguation_normalized
幻影引用,特性,PhantomReference,全文,JVM.txt,"虚引用也被称作幻影引用,是最弱的引用关系,可以用PhantomReference来描述,他必须和ReferenceQueue一起使用,同样的当发生GC的时候,虚引用也会被回收",0.812,attribute_disambiguation_normalized
复制算法,特性,CMS,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.808,attribute_disambiguation_normalized
虚拟机栈,特性,JVM,全文,JVM.txt,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",0.806,attribute_disambiguation_normalized
垃圾回收,特性,System.gc,使用ThreadLocal,JVM.txt,"手动请求:虽然垃圾回收是自动的,开发者可以通过调用 System.gc() 或 Runtime.getRuntime().gc() 建议 JVM 进行垃圾回收",0.8,attribute_disambiguation_normalized
栈帧,特性,GC Roots,使用ThreadLocal,JVM.txt,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,0.8,attribute_disambiguation_normalized
浮动垃圾,特性,gc,使用ThreadLocal,JVM.txt,"而G1没有浮动垃圾,G1的筛选回收是多个垃圾回收线程并行gc的,没有浮动垃圾的回收,在执行‘并发清理’步骤时,用户线程也会同时产生一部分可回收对象,但是这部分可回收对象只能在下次执行清理是才会被回收",0.796,attribute_disambiguation_normalized
标记阶段,特性,G1,使用ThreadLocal,JVM.txt,G1的混合回收过程可以分为标记阶段、清理阶段和复制阶段,0.794,attribute_disambiguation_normalized
ParNew,特性,G1,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.788,attribute_disambiguation_normalized
key,特性,value,使用ThreadLocal,JVM.txt,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",0.788,attribute_disambiguation_normalized
弱引用,特性,WeakReference,全文,JVM.txt,"在Java中,弱引用是通过Java.lang.ref.WeakReference类实现的",0.788,attribute_disambiguation_normalized
G1,特性,STW,使用ThreadLocal,JVM.txt,"因此,G1停顿时间的瓶颈主要是标记-复制中的转移阶段STW",0.784,attribute_disambiguation_normalized
CMS,特性,高并发,使用ThreadLocal,JVM.txt,"CMS(Concurrent Mark Sweep)收集器(标记-清除算法): 老年代并行收集器,以获取最短回收停顿时间为目标的收集器,具有高并发、低停顿的特点,追求最短GC回收停顿时间",0.78,attribute_disambiguation_normalized
Concurrent Mark Sweep,特性,高并发,使用ThreadLocal,JVM.txt,"CMS(Concurrent Mark Sweep)收集器(标记-清除算法): 老年代并行收集器,以获取最短回收停顿时间为目标的收集器,具有高并发、低停顿的特点,追求最短GC回收停顿时间",0.78,attribute_disambiguation_normalized
String,特性,不可变,全文,JVM.txt,"String 保存在字符串常量池中,不同于其他对象,它的值是不可变的,且可以被多个引用共享",0.78,attribute_disambiguation_normalized
String,特性,可变,全文,JVM.txt,"String 保存在字符串常量池中,不同于其他对象,它的值是不可变的,且可以被多个引用共享",0.78,attribute_disambiguation_normalized
ThreadLocal,特性,线程安全,使用ThreadLocal,JVM.txt,"ThreadLocal相当于提供了一种线程隔离,将变量与线程相绑定,从而实现线程安全的特性",0.78,attribute_disambiguation_normalized
ZGC,特性,高并发,使用ThreadLocal,JVM.txt,"现在新出的 ZGC、Shenandoah 更是追求微秒级停顿,适合高并发低延迟的应用",0.78,attribute_disambiguation_normalized
双亲委派,特性,有序,使用ThreadLocal,JVM.txt,"简单说,双亲委派就像 「孩子找东西先问家长,家长解决不了再自己找」,通过层级委派确保了 Java 核心类的安全和类加载的有序性,是 Java 运行时环境稳定的基础",0.78,attribute_disambiguation_normalized
GC Roots,特性,STW,使用ThreadLocal,JVM.txt,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",0.776,attribute_disambiguation_normalized
直接内存,特性,NIO,全文,JVM.txt,"直接内存:不属于 JVM 运行时数据区的一部分,通过 NIO 类引入,是一种堆外内存,可以显著提高 I/O 性能",0.772,attribute_disambiguation_normalized
CMS,特性,Serial,使用ThreadLocal,JVM.txt,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",0.77,attribute_disambiguation_normalized
虚引用也,特性,PhantomReference,全文,JVM.txt,"虚引用也被称作幻影引用,是最弱的引用关系,可以用PhantomReference来描述,他必须和ReferenceQueue一起使用,同样的当发生GC的时候,虚引用也会被回收",0.77,attribute_disambiguation_normalized
新生代,特性,G1,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.766,attribute_disambiguation_normalized
元空间,特性,JVM,全文,JVM.txt,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",0.764,attribute_disambiguation_normalized
清理阶段,特性,G1,使用ThreadLocal,JVM.txt,G1的混合回收过程可以分为标记阶段、清理阶段和复制阶段,0.764,attribute_disambiguation_normalized
G1,定义,老年代和新生代,使用ThreadLocal,JVM.txt,G1收集器收集范围是老年代和新生代,0.76,attribute_disambiguation_normalized
G1,定义,"标记-整理”算法,进行了空间整合,没有内存空间碎片",使用ThreadLocal,JVM.txt,"G1收集器使用的是“标记-整理”算法,进行了空间整合,没有内存空间碎片",0.76,attribute_disambiguation_normalized
G1,定义,"引入分区的思路,弱化了分代的概念",使用ThreadLocal,JVM.txt,"G1最大的特点是引入分区的思路,弱化了分代的概念",0.76,attribute_disambiguation_normalized
使用,定义,避免重复加载 Java 类型,使用ThreadLocal,JVM.txt,使用委派模型的目的是避免重复加载 Java 类型,0.76,attribute_disambiguation_normalized
分代回收,定义,将内存划分成了新生代和老年代,使用ThreadLocal,JVM.txt,分代回收算法:分代收集是将内存划分成了新生代和老年代,0.76,attribute_disambiguation_normalized
加载,定义,双向绑定的共生关系,使用ThreadLocal,JVM.txt,类与其加载器是双向绑定的共生关系,0.76,attribute_disambiguation_normalized
垃圾回收,定义,"什么,是为了解决了什么问题?",使用ThreadLocal,JVM.txt,"#垃圾回收算法是什么,是为了解决了什么问题?",0.76,attribute_disambiguation_normalized
垃圾回收,定义,为了解决内存管理的问题,使用ThreadLocal,JVM.txt,JVM有垃圾回收机制的原因是为了解决内存管理的问题,0.76,attribute_disambiguation_normalized
垃圾回收,定义,"自动检测和回收不再使用的对象,从而释放它们所占用的内存空间",使用ThreadLocal,JVM.txt,"垃圾回收机制的主要目标是自动检测和回收不再使用的对象,从而释放它们所占用的内存空间",0.76,attribute_disambiguation_normalized
垃圾回收,定义,"这些算法的实现,不同回收器适用场景不同",使用ThreadLocal,JVM.txt,"具体的垃圾回收器就是这些算法的实现,不同回收器适用场景不同",0.76,attribute_disambiguation_normalized
堆溢出,定义,由于创建了太多的大对象或未能及时回收不再使用的对象,全文,JVM.txt,堆溢出通常是由于创建了太多的大对象或未能及时回收不再使用的对象,0.76,attribute_disambiguation_normalized
复制算法,定义,"将内存分成两块,每次申请内存时都使用其中的一块,当内存不够时,将这一块内存中所有存活的复制到另一块上",使用ThreadLocal,JVM.txt,"复制算法的原理是,将内存分成两块,每次申请内存时都使用其中的一块,当内存不够时,将这一块内存中所有存活的复制到另一块上",0.76,attribute_disambiguation_normalized
大对象,定义,"指需要大量连续内存空间的对象,如大数组",全文,JVM.txt,"大对象是指需要大量连续内存空间的对象,如大数组",0.76,attribute_disambiguation_normalized
弱引用,定义,"创建非强制性的对象引用,这些引用可以在内存压力大时被垃圾回收器清理,从而避免内存泄露",全文,JVM.txt,"弱引用的一个主要用途是创建非强制性的对象引用,这些引用可以在内存压力大时被垃圾回收器清理,从而避免内存泄露",0.76,attribute_disambiguation_normalized
强引用指,定义,"代码中普遍存在的赋值方式,比如A a = new A()这种",全文,JVM.txt,"强引用指的就是代码中普遍存在的赋值方式,比如A a = new A()这种",0.76,attribute_disambiguation_normalized
直接引用,定义,"直接指向目标的指针、相对偏移量或是一个能间接定位到目标的句柄,直接引用是和虚拟机实现的内存布局相关的",使用ThreadLocal,JVM.txt,"直接引用可以是直接指向目标的指针、相对偏移量或是一个能间接定位到目标的句柄,直接引用是和虚拟机实现的内存布局相关的",0.76,attribute_disambiguation_normalized
符号引用,定义,"以一组符号来描述所引用的目标,符号可以是任何形式的字面量,只要使用的时候可以无歧义地定位到目标即可",使用ThreadLocal,JVM.txt,"符号引用是以一组符号来描述所引用的目标,符号可以是任何形式的字面量,只要使用的时候可以无歧义地定位到目标即可",0.76,attribute_disambiguation_normalized
线程,定义,"Native 方法,计数器值为 null",全文,JVM.txt,"如果线程执行的是 Native 方法,计数器值为 null",0.76,attribute_disambiguation_normalized
转移阶段,定义,"STW的,其中内存分配通常耗时非常短,但对象成员变量的复制耗时有可能较长,这是因为复制耗时与存活对象数量与对象复杂度成正比",使用ThreadLocal,JVM.txt,"转移阶段是STW的,其中内存分配通常耗时非常短,但对象成员变量的复制耗时有可能较长,这是因为复制耗时与存活对象数量与对象复杂度成正比",0.76,attribute_disambiguation_normalized
Full GC,特性,Stop The World,使用ThreadLocal,JVM.txt,"特点:Full GC是最昂贵的操作,因为它需要停止所有的工作线程(Stop The World),遍历整个堆内存来查找和回收不再使用的对象,因此应尽量减少Full GC的触发",0.752,attribute_disambiguation_normalized
ThreadLocalMap,特性,value,使用ThreadLocal,JVM.txt,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",0.746,attribute_disambiguation_normalized
Young GC,特性,gc,使用ThreadLocal,JVM.txt,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",0.746,attribute_disambiguation_normalized
Java 堆,特性,G1,使用ThreadLocal,JVM.txt,"G1(Garbage First)收集器 (标记-整理算法): Java堆并行收集器,G1收集器是JDK1.7提供的一个新收集器,G1收集器基于“标记-整理”算法实现,也就是说不会产生内存碎片",0.742,attribute_disambiguation_normalized
验证,特性,JVM,使用ThreadLocal,JVM.txt,"验证(Verification),这是虚拟机安全的重要保障,JVM 需要核验字节信息是符合 Java 虚拟机规范的,否则就被认为是 VerifyError,这样就防止了恶意信息或者不合规的信息危害 JVM 的运行,验证阶段有可能触发更多 class 的加载",0.742,attribute_disambiguation_normalized
ParNew,特性,Serial,使用ThreadLocal,JVM.txt,"ParNew收集器 (复制算法): 新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",0.74,attribute_disambiguation_normalized
程序计数器,特性,JVM,全文,JVM.txt,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",0.74,attribute_disambiguation_normalized
老年代,特性,G1,使用ThreadLocal,JVM.txt,"此外,G1收集器不同于之前的收集器的一个重要特点是:G1回收的范围是整个Java堆(包括新生代,老年代),而前六种收集器回收的范围仅限于新生代或老年代",0.74,attribute_disambiguation_normalized
复制阶段,特性,G1,使用ThreadLocal,JVM.txt,G1的混合回收过程可以分为标记阶段、清理阶段和复制阶段,0.734,attribute_disambiguation_normalized
初始标记阶段,特性,STW,使用ThreadLocal,JVM.txt,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",0.73,attribute_disambiguation_normalized
CMS,特性,G1,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.728,attribute_disambiguation_normalized
CMS,特性,ParNew,使用ThreadLocal,JVM.txt,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",0.728,attribute_disambiguation_normalized
加载,特性,Extension ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.724,attribute_disambiguation_normalized
常量,特性,String,全文,JVM.txt,"所以,如果abc这个字符串常量不存在,则创建两个对象,分别是abc这个字符串常量,以及new String这个实例对象",0.718,attribute_disambiguation_normalized
栈溢出,特性,JVM,全文,JVM.txt,"栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同",0.718,attribute_disambiguation_normalized
JVM,特性,VerifyError,使用ThreadLocal,JVM.txt,"验证(Verification),这是虚拟机安全的重要保障,JVM 需要核验字节信息是符合 Java 虚拟机规范的,否则就被认为是 VerifyError,这样就防止了恶意信息或者不合规的信息危害 JVM 的运行,验证阶段有可能触发更多 class 的加载",0.712,attribute_disambiguation_normalized
复制算法,特性,G1,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.712,attribute_disambiguation_normalized
内存溢出,特性,OutOfMemoryError,全文,JVM.txt,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",0.71,attribute_disambiguation_normalized
初始化,特性,JVM,使用ThreadLocal,JVM.txt,"但这里的“初始化”和下面的显式初始化阶段是有区别的,侧重点在于分配所需要的内存空间,不会去执行更进一步的 JVM 指令",0.71,attribute_disambiguation_normalized
启动类加载器,特性,Extension ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.71,attribute_disambiguation_normalized
标记-整理算法,特性,G1,使用ThreadLocal,JVM.txt,"G1(Garbage First)收集器 (标记-整理算法): Java堆并行收集器,G1收集器是JDK1.7提供的一个新收集器,G1收集器基于“标记-整理”算法实现,也就是说不会产生内存碎片",0.71,attribute_disambiguation_normalized
首先是加载阶段,特性,JVM,使用ThreadLocal,JVM.txt,"首先是加载阶段(Loading),它是 Java 将字节码数据从不同的数据源读取到 JVM 中,并映射为 JVM 认可的数据结构(Class 对象),这里的数据源可能是各种各样的形态,如 jar 文件、class 文件,甚至是网络数据源等",0.71,attribute_disambiguation_normalized
本地方法栈,特性,JVM,全文,JVM.txt,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",0.704,attribute_disambiguation_normalized
方法区,特性,GC Roots,使用ThreadLocal,JVM.txt,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,0.698,attribute_disambiguation_normalized
Major GC,特性,gc,使用ThreadLocal,JVM.txt,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",0.686,attribute_disambiguation_normalized
本地方法栈,特性,GC Roots,使用ThreadLocal,JVM.txt,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,0.66,attribute_disambiguation_normalized
